File,Function,Description
history_manager.py,main,
history_manager.py,__init__,
history_manager.py,create_folders,
history_manager.py,archive_prediction,
history_manager.py,archive_outcome,
history_manager.py,create_accuracy_report,
hmme_active_dependency_mapper.py,load_files,
hmme_active_dependency_mapper.py,scan_dependencies,
hmme_active_dependency_mapper.py,assign_group,
hmme_active_dependency_mapper.py,main,
hmme_archive_mover_v5.py,create_folders,
hmme_archive_mover_v5.py,move_file,
hmme_archive_mover_v5.py,process_list,
hmme_archive_mover_v5.py,main,
hmme_consolidation_analyzer_v2.py,classify,
hmme_consolidation_analyzer_v2.py,main,
hmme_consolidation_analyzer_v3.py,classify,
hmme_consolidation_analyzer_v3.py,main,
hmme_dependency_scanner_v4.py,load_source_files,
hmme_dependency_scanner_v4.py,check_dependency,
hmme_dependency_scanner_v4.py,classify,
hmme_dependency_scanner_v4.py,process_file_list,
hmme_dependency_scanner_v4.py,main,
hmme_production_merge_planner_v2.py,detect_function,
hmme_production_merge_planner_v2.py,detect_role,
hmme_production_merge_planner_v2.py,find_similar,
hmme_production_merge_planner_v2.py,main,
importer.py,read_latest_report,
importer.py,load_market_reports,
importer.py,main,
NTIS_EOD_File_Function_Mapper_v2.py,ignored,
NTIS_EOD_File_Function_Mapper_v2.py,write_csv,
NTIS_EOD_File_Function_Mapper_v2.py,main,
ntis_similarity_core_dependency_map.py,get_python_files,
ntis_similarity_core_dependency_map.py,extract_imports,
ntis_similarity_core_dependency_map.py,build_dependency_graph,
ntis_similarity_core_dependency_map.py,resolve_dependencies,
ntis_similarity_core_dependency_map.py,write_csv,
ntis_similarity_core_dependency_map.py,main,
ntis_similarity_core_dependency_map.py,walk,
outcome_engine.py,main,
outcome_engine.py,__init__,
outcome_engine.py,merge_price,
outcome_engine.py,calculate_outcome,
outcome_engine.py,calculate_accuracy,
outcome_engine.py,save,
pattern_engine.py,clean_numeric,
pattern_engine.py,main,
pattern_engine.py,__init__,
pattern_engine.py,detect_pattern,
pattern_engine.py,apply_patterns,
pattern_engine.py,save,
