Module,Status,Purpose,Layer,Notes
config_loader.py,ACTIVE,Central configuration loading,Foundation,Do not duplicate
intraday_path_config.py,ACTIVE,Dynamic output path handling,Foundation,Frozen
intraday_market_master_builder.py,ACTIVE,Market master creation,Data Layer,Stable v1.2
intraday_scoring_engine.py,ACTIVE,NTIS scoring,Analysis Layer,Active owner
intraday_pattern_engine.py,ACTIVE,Pattern detection,Analysis Layer,Active owner
pattern_statistics_engine.py,ACTIVE,Pattern statistics,Learning Layer,Active owner; backups ignored
intraday_learning_memory_builder.py,ACTIVE,Learning memory creation,Learning Layer,Stable v1.0
intraday_learning_outcome_updater.py,ACTIVE,Learning memory update,Learning Layer,Stable v1.1
intraday_probability_calibration.py,ACTIVE,Probability calibration,Learning Layer,Stable v2.2 - Weighted Pattern Quality Score + replay outcome calibration
intraday_probability_engine.py,ACTIVE,Probability calculation,Decision Layer,Stable v1.4 - Sample weighted calibration feedback
intraday_trade_validation_engine.py,ACTIVE,Trade validation,Decision Layer,Active owner
intraday_historical_replay_engine.py,ACTIVE,Historical replay,Backtest Layer,Active owner
intraday_accuracy_tracker.py,ACTIVE,Accuracy reporting,Learning Layer,Active owner
